client_id,frame,delay_ms,fps
0,1,804.947,1.242
0,2,395.528,2.528
0,3,393.172,2.543
0,4,374.209,2.672
0,5,400.09,2.499
0,6,474.384,2.108
0,7,409.377,2.443
0,8,404.228,2.474
0,9,388.915,2.571
0,10,416.875,2.399
0,11,499.732,2.001
0,12,535.169,1.869
0,13,643.407,1.554
0,14,375.861,2.661
0,15,373.91,2.674
0,16,360.163,2.777
0,17,585.053,1.709
0,18,362.031,2.762
0,19,379.297,2.636
0,20,383.435,2.608
0,21,447.891,2.233
0,22,431.907,2.315
0,23,438.182,2.282
0,24,471.633,2.12
0,25,400.245,2.498
0,26,346.787,2.884
0,27,405.416,2.467
0,28,436.614,2.29
0,29,433.898,2.305
0,30,406.524,2.46
0,31,300.232,3.331
0,32,454.609,2.2
0,33,427.157,2.341
0,34,437.952,2.283
0,35,488.951,2.045
0,36,485.076,2.062
0,37,457.623,2.185
0,38,402.77,2.483
0,39,377.842,2.647
0,40,392.546,2.547
0,41,363.031,2.755
0,42,482.1,2.074
0,43,331.554,3.016
0,44,445.937,2.242
0,45,481.083,2.079
0,46,379.239,2.637
0,47,511.106,1.957
0,48,391.69,2.553
0,49,442.661,2.259
0,50,471.746,2.12
0,51,419.563,2.383
0,52,344.935,2.899
0,53,339.738,2.943
0,54,522.793,1.913
0,55,413.874,2.416
0,56,404.213,2.474
0,57,537.208,1.861
0,58,475.831,2.102
0,59,535.847,1.866
0,60,394.147,2.537
0,61,468.518,2.134
0,62,490.343,2.039
0,63,340.803,2.934
0,64,458.457,2.181
0,65,470.407,2.126
0,66,381.593,2.621
0,67,600.171,1.666
0,68,513.932,1.946
0,69,555.108,1.801
0,70,428.637,2.333
0,71,422.846,2.365
0,72,469.867,2.128
0,73,420.531,2.378
0,74,380.191,2.63
0,75,368.184,2.716
0,76,487.033,2.053
0,77,429.279,2.329
0,78,398.929,2.507
0,79,426.616,2.344
0,80,488.837,2.046
0,81,368.701,2.712
0,82,389.998,2.564
0,83,436.876,2.289
0,84,480.863,2.08
0,85,443.19,2.256
0,86,416.034,2.404
0,87,444.285,2.251
0,88,484.975,2.062
0,89,367.341,2.722
0,90,494.724,2.021
0,91,343.206,2.914
0,92,493.783,2.025
0,93,415.968,2.404
0,94,432.029,2.315
0,95,529.265,1.889
0,96,492.241,2.032
0,97,371.583,2.691
0,98,410.277,2.437
0,99,475.14,2.105
0,100,481.322,2.078
0,101,412.138,2.426
0,102,444.65,2.249
0,103,445.52,2.245
0,104,397.183,2.518
0,105,540.023,1.852
0,106,325.787,3.069
0,107,500.405,1.998
0,108,471.335,2.122
0,109,416.419,2.401
0,110,606.821,1.648
0,111,397.628,2.515
0,112,434.215,2.303
0,113,456.898,2.189
0,114,423.498,2.361
0,115,365.983,2.732
0,116,367.51,2.721
0,117,465.958,2.146
0,118,561.272,1.782
0,119,469.259,2.131
0,120,392.239,2.549
0,121,436.274,2.292
0,122,428.585,2.333
0,123,451.585,2.214
0,124,379.101,2.638
0,125,518.343,1.929
0,126,518.071,1.93
0,127,465.635,2.148
0,128,432.524,2.312
0,129,388.34,2.575
0,130,557.454,1.794
0,131,454.542,2.2
0,132,411.707,2.429
0,133,458.86,2.179
0,134,502.549,1.99
0,135,497.922,2.008
0,136,505.048,1.98
0,137,363.735,2.749
0,138,372.512,2.684
0,139,464.905,2.151
0,140,420.073,2.381
0,141,470.639,2.125
0,142,459.359,2.177
0,143,386.183,2.589
0,144,414.063,2.415
0,145,387.517,2.581
0,146,432.974,2.31
0,147,416.643,2.4
0,148,497.134,2.012
0,149,493.47,2.026
0,150,341.856,2.925
0,151,305.949,3.269
1,1,812.737,1.23
1,2,398.573,2.509
1,3,288.361,3.468
1,4,336.607,2.971
1,5,353.122,2.832
1,6,622.859,1.605
1,7,353.713,2.827
1,8,535.409,1.868
1,9,399.317,2.504
1,10,369.083,2.709
1,11,392.273,2.549
1,12,351.943,2.841
1,13,484.809,2.063
1,14,476.407,2.099
1,15,412.492,2.424
1,16,338.244,2.956
1,17,380.77,2.626
1,18,463.055,2.16
1,19,356.857,2.802
1,20,415.137,2.409
1,21,451.542,2.215
1,22,412.788,2.423
1,23,433.285,2.308
1,24,356.842,2.802
1,25,376.162,2.658
1,26,538.39,1.857
1,27,349.419,2.862
1,28,485.572,2.059
1,29,391.438,2.555
1,30,441.728,2.264
1,31,310.161,3.224
1,32,449.675,2.224
1,33,377.559,2.649
1,34,420.751,2.377
1,35,412.973,2.421
1,36,399.338,2.504
1,37,437.582,2.285
1,38,445.393,2.245
1,39,484.564,2.064
1,40,445.527,2.245
1,41,411.111,2.432
1,42,384.821,2.599
1,43,443.19,2.256
1,44,323.581,3.09
1,45,425.865,2.348
1,46,345.351,2.896
1,47,439.967,2.273
1,48,460.362,2.172
1,49,529.038,1.89
1,50,351.339,2.846
1,51,493.108,2.028
1,52,367.411,2.722
1,53,396.195,2.524
1,54,448.1,2.232
1,55,362.301,2.76
1,56,450.426,2.22
1,57,403.119,2.481
1,58,409.444,2.442
1,59,434.713,2.3
1,60,505.513,1.978
1,61,412.909,2.422
1,62,379.457,2.635
1,63,420.003,2.381
1,64,401.082,2.493
1,65,367.12,2.724
1,66,411.344,2.431
1,67,393.991,2.538
1,68,454.9,2.198
1,69,648.565,1.542
1,70,418.387,2.39
1,71,436.969,2.288
1,72,492.537,2.03
1,73,499.829,2.001
1,74,434.645,2.301
1,75,383.292,2.609
1,76,453.808,2.204
1,77,376.452,2.656
1,78,299.099,3.343
1,79,409.707,2.441
1,80,507.972,1.969
1,81,485.071,2.062
1,82,455.101,2.197
1,83,513.338,1.948
1,84,461.675,2.166
1,85,497.681,2.009
1,86,503.657,1.985
1,87,414.713,2.411
1,88,472.312,2.117
1,89,426.876,2.343
1,90,443.716,2.254
1,91,412.633,2.423
1,92,373.205,2.679
1,93,398.636,2.509
1,94,456.883,2.189
1,95,452.638,2.209
1,96,399.366,2.504
1,97,431.686,2.317
1,98,353.439,2.829
1,99,360.398,2.775
1,100,432.281,2.313
1,101,428.897,2.332
1,102,455.817,2.194
1,103,396.782,2.52
1,104,421.965,2.37
1,105,439.686,2.274
1,106,430.594,2.322
1,107,471.827,2.119
1,108,495.471,2.018
1,109,428.527,2.334
1,110,367.148,2.724
1,111,443.984,2.252
1,112,591.548,1.69
1,113,478.485,2.09
1,114,523.255,1.911
1,115,537.343,1.861
1,116,543.054,1.841
1,117,399.45,2.503
1,118,389.627,2.567
1,119,491.693,2.034
1,120,392.167,2.55
1,121,476.741,2.098
1,122,402.275,2.486
1,123,672.689,1.487
1,124,409.548,2.442
1,125,441.676,2.264
1,126,420.226,2.38
1,127,409.488,2.442
1,128,511.226,1.956
1,129,351.153,2.848
1,130,482.255,2.074
1,131,387.73,2.579
1,132,454.501,2.2
1,133,484.371,2.065
1,134,400.145,2.499
1,135,456.1,2.193
1,136,416.253,2.402
1,137,397.18,2.518
1,138,522.183,1.915
1,139,477.19,2.096
1,140,505.287,1.979
1,141,396.566,2.522
1,142,458.183,2.183
1,143,549.12,1.821
1,144,473.946,2.11
1,145,405.379,2.467
1,146,384.543,2.6
1,147,441.895,2.263
1,148,537.887,1.859
1,149,547.19,1.828
1,150,516.4,1.936
1,151,420.503,2.378
2,1,728.156,1.373
2,2,407.551,2.454
2,3,403.495,2.478
2,4,572.174,1.748
2,5,284.343,3.517
2,6,403.752,2.477
2,7,394.658,2.534
2,8,412.135,2.426
2,9,315.947,3.165
2,10,368.792,2.712
2,11,622.502,1.606
2,12,353.961,2.825
2,13,395.672,2.527
2,14,427.282,2.34
2,15,595.633,1.679
2,16,319.597,3.129
2,17,455.558,2.195
2,18,476.311,2.099
2,19,411.678,2.429
2,20,335.351,2.982
2,21,342.794,2.917
2,22,439.967,2.273
2,23,495.015,2.02
2,24,416.853,2.399
2,25,448.982,2.227
2,26,354.408,2.822
2,27,344.894,2.899
2,28,411.92,2.428
2,29,485.019,2.062
2,30,439.678,2.274
2,31,325.521,3.072
2,32,418.615,2.389
2,33,390.28,2.562
2,34,364.628,2.743
2,35,361.153,2.769
2,36,465.17,2.15
2,37,469.479,2.13
2,38,454.267,2.201
2,39,510.772,1.958
2,40,418.948,2.387
2,41,501.48,1.994
2,42,392.37,2.549
2,43,374.18,2.673
2,44,443.492,2.255
2,45,445.993,2.242
2,46,286.629,3.489
2,47,458.298,2.182
2,48,416.953,2.398
2,49,497.772,2.009
2,50,457.834,2.184
2,51,355.038,2.817
2,52,328.055,3.048
2,53,496.587,2.014
2,54,500.388,1.998
2,55,498.911,2.004
2,56,560.41,1.784
2,57,412.226,2.426
2,58,577.082,1.733
2,59,522.249,1.915
2,60,411.588,2.43
2,61,519.752,1.924
2,62,527.182,1.897
2,63,506.319,1.975
2,64,483.73,2.067
2,65,379.571,2.635
2,66,586.543,1.705
2,67,448.723,2.229
2,68,556.096,1.798
2,69,521.006,1.919
2,70,532.343,1.878
2,71,479.235,2.087
2,72,387.819,2.579
2,73,494.371,2.023
2,74,475.731,2.102
2,75,389.808,2.565
2,76,363.55,2.751
2,77,412.576,2.424
2,78,519.418,1.925
2,79,326.45,3.063
2,80,534.966,1.869
2,81,575.903,1.736
2,82,541.801,1.846
2,83,389.272,2.569
2,84,388.002,2.577
2,85,540.941,1.849
2,86,336.809,2.969
2,87,506.413,1.975
2,88,565.672,1.768
2,89,399.703,2.502
2,90,385.21,2.596
2,91,427.072,2.342
2,92,391.818,2.552
2,93,419.249,2.385
2,94,366.648,2.727
2,95,526.541,1.899
2,96,414.984,2.41
2,97,424.39,2.356
2,98,392.891,2.545
2,99,381.704,2.62
2,100,436.75,2.29
2,101,502.314,1.991
2,102,377.325,2.65
2,103,493.721,2.025
2,104,395.983,2.525
2,105,481.555,2.077
2,106,368.013,2.717
2,107,391.196,2.556
2,108,499.014,2.004
2,109,326.448,3.063
2,110,404.395,2.473
2,111,397.775,2.514
2,112,438.854,2.279
2,113,362.767,2.757
2,114,395.675,2.527
2,115,339.786,2.943
2,116,449.733,2.224
2,117,539.451,1.854
2,118,359.12,2.785
2,119,489.571,2.043
2,120,466.018,2.146
2,121,475.639,2.102
2,122,480.561,2.081
2,123,361.207,2.768
2,124,416.112,2.403
2,125,547.421,1.827
2,126,518.866,1.927
2,127,443.827,2.253
2,128,510.073,1.961
2,129,385.335,2.595
2,130,417.049,2.398
2,131,500.453,1.998
2,132,548.364,1.824
2,133,442.002,2.262
2,134,401.547,2.49
2,135,407.277,2.455
2,136,477.426,2.095
2,137,365.752,2.734
2,138,413.799,2.417
2,139,495.33,2.019
2,140,507.835,1.969
2,141,479.633,2.085
2,142,421.179,2.374
2,143,420.054,2.381
2,144,426.689,2.344
2,145,564.685,1.771
2,146,346.692,2.884
2,147,408.676,2.447
2,148,440.918,2.268
2,149,521.324,1.918
2,150,283.063,3.533
2,151,244.659,4.087
3,1,671.152,1.49
3,2,433.48,2.307
3,3,356.717,2.803
3,4,477.709,2.093
3,5,419.095,2.386
3,6,266.367,3.754
3,7,468.955,2.132
3,8,412.025,2.427
3,9,414.784,2.411
3,10,380.221,2.63
3,11,445.383,2.245
3,12,346.874,2.883
3,13,475.145,2.105
3,14,382.994,2.611
3,15,414.739,2.411
3,16,376.604,2.655
3,17,293.353,3.409
3,18,349.858,2.858
3,19,388.029,2.577
3,20,498.263,2.007
3,21,403.76,2.477
3,22,363.167,2.754
3,23,396.011,2.525
3,24,364.773,2.741
3,25,343.618,2.91
3,26,379.199,2.637
3,27,383.437,2.608
3,28,389.09,2.57
3,29,442.001,2.262
3,30,421.829,2.371
3,31,355.538,2.813
3,32,425.216,2.352
3,33,403.696,2.477
3,34,499.135,2.003
3,35,529.311,1.889
3,36,515.416,1.94
3,37,348.233,2.872
3,38,386.824,2.585
3,39,479.347,2.086
3,40,435.441,2.297
3,41,364.789,2.741
3,42,403.496,2.478
3,43,582.135,1.718
3,44,359.949,2.778
3,45,449.984,2.222
3,46,439.077,2.278
3,47,450.444,2.22
3,48,494.228,2.023
3,49,375.518,2.663
3,50,364.121,2.746
3,51,529.728,1.888
3,52,420.544,2.378
3,53,524.862,1.905
3,54,445.727,2.244
3,55,471.146,2.122
